disease,symptom,count,values
Petechia,Neonatal facial petechiae,30,1
Petechiae of skin,Neonatal facial petechiae,30,1
Pharyngitis disorder,Pain in throat,40,1
Pharyngitis disorder,Sore throat symptom,40,0
Polymorphic light eruption,Juvenile spring eruption,10,0
Polymorphous light eruption,Juvenile spring eruption,10,0
Photodermatitis disorder,Actinic reaction,10,0
Epidemic pleurodynia,Pain finding,1360,1
Pneumatosis cystoides intestinalis,Mass of digestive structure,220,0
Polymyalgia rheumatica,Pain finding,1360,1
Polymyalgia rheumatica,Polymyalgia,30,0
Postherpetic neuralgia disorder,Neuropathic pain,160,1
Postherpetic neuralgia disorder,Pain finding,1360,1
Postinfectious neuralgia,Neuropathic pain,160,1
Postinfectious neuralgia,Pain finding,1360,1
Pregnancy complications,Pruritus of pregnancy,20,0
Complication related to pregnancy,Pruritus of pregnancy,20,0
Pregnancy complications,Back pain complicating pregnancy,10,0
Complication related to pregnancy,Back pain complicating pregnancy,10,0
Ectopic atrial beats,Junctional premature beats,10,0
Supraventricular premature beats,Junctional premature beats,10,0
Atrial premature complex,Junctional premature beats,10,0
Premature atrial contraction,Junctional premature beats,10,0
Pretibial myxedema,Edema of lower leg,10,0
Priapism disorder,Painful penile erection,20,0
Priapism disorder,Priapism or erection - painful,10,0
Primary insomnia,Insomnia disorder,70,0
Disorder of prostate,Prostatic pain finding,10,0
Disorder of prostate,Prostatism disorder,10,0
Disorder of prostate,Prostatorrhea,20,0
Pruritic rash,Pruritus of skin,260,1
Pruritic rash,Itching of skin,260,1
Pruritic rash,Itch of skin,260,1
Prurigo papule,Pruritus of skin,260,1
Prurigo papule,Itching of skin,260,1
Prurigo papule,Itch of skin,260,1
Tension-type headache,Headache finding,590,1
Psychogenic headache,Headache finding,590,1
Tension-type headache,Occipital headache,10,0
Psychogenic headache,Occipital headache,10,0
Purpuric disorder,Cryoglobulinemic purpura,20,0
Quadriplegia disorder,Flaccid tetraplegia,20,0
Radiculitis disorder,Neuropathic pain,160,1
"Complex regional pain syndrome, type I",Pain finding,1360,1
Shoulder-hand syndrome,Pain finding,1360,1
Disorder of refraction,Aniseikonia disorder,10,0
Disorder of refraction,Refractive diplopia,20,0
Disorder of respiratory system,DRespiratory abnormalities,10,0
Disorder of respiratory system,DRespiratory abnormalities NOS,10,0
Disorder of respiratory system,Restrained respiration,10,0
Retinopathy,Retina finding,10,0
Retinal disorder,Retina finding,10,0
Retinopathy,OE - retinopathy,20,0
Retinal disorder,OE - retinopathy,20,0
Rhinitis disorder,Purulent nasal discharge,80,1
Rhinitis disorder,Purulent rhinitis,80,1
Rhinitis disorder,Rhinitis due to alpha-adrenergic blocking agent,20,0
Disorder of salivary gland,Sialectasia,20,0
Infection by Schistosoma,Schistosomal pigment deposition,40,0
Disease due to Schistosomatidae,Schistosomal pigment deposition,40,0
Disorder of sclera,Scleral discoloration,30,0
Scleredema disorder,Thickening of skin,30,0
Visual field defect,Scintillating scotoma,10,0
Visual field scotoma,Scintillating scotoma,10,0
Visual field defect,Angioscotoma,10,0
Visual field scotoma,Angioscotoma,10,0
Visual field defect,Ring scotoma,10,0
Visual field scotoma,Ring scotoma,10,0
Visual field defect,Quadrantic scotoma,10,0
Visual field scotoma,Quadrantic scotoma,10,0
Silo-fillers disease,Acute edema,110,0
Disorder of skin,Pruritus of skin,260,1
Disorder of skin,Itching of skin,260,1
Disorder of skin,Itch of skin,260,1
Disorder of skin,Skin irritation,30,0
Disorder of skin,Thickening of skin,30,0
Disorder of skin,Cryoglobulinemic purpura,20,0
Infection of skin,Oslers node,30,0
Parasitic infection of skin,Malarial pigment deposition,50,0
Skin lesion,Tuberculous chancre,30,0
Skin lesion,Clubbing of nail disorder,40,1
Skin lesion,Spots on skin disorder,20,0
Sleep apnea,Hypersomnia with sleep apnea,20,0
Sleep walking disorder,Sleep automatism,40,0
West syndrome,Seizure,1690,1
Sphenopalatine neuralgia,Pain finding,1360,1
Spinal cord disease,Edema of spinal cord,30,0
Vertebral column syndromes,Other back symptoms disorder,10,0
Disorder of spine,Other back symptoms disorder,10,0
Sporotrichosis disorder,Sporotrichotic chancre,30,0
Status epilepticus,Seizure,1690,1
Stevens-Johnson syndrome,Erythema of skin,890,1
Stevens-Johnson syndrome,Erythematous condition,890,1
Disorder of stomach,Projectile vomiting disorder,10,0
Disorder of stomach,Gastric spasm,20,0
Heterotropia,Esophoria or strabismus NOS or ophthalmoplegia NOS,20,0
Progressive supranuclear ophthalmoplegia,Ophthalmoplegia disorder,110,1
Supraorbital neuralgia,Pain finding,1360,1
Disorder of testis,Inflammatory testicular mass,20,0
Tetany disorder,Carpopedal spasm,10,0
Disorder of thorax,Intercostal neuralgia,40,0
Disorder of thyroid gland,Pain in thyroid,10,0
Disorder of thyroid gland,Tenderness of thyroid,10,0
Tolosa-Hunt syndrome,Pain finding,1360,1
Disorder of tongue,Glossodynia disorder,40,1
Disorder of tongue,Glossopyrosis disorder,30,0
Disorder of tongue,Paresthesia of tongue,10,0
Disorder of tongue,Numbness of tongue,10,0
Disorder of tongue,Hypoesthesia of tongue,20,0
Tooth disorder,Loosening of tooth disorder,20,0
Trigeminal neuralgia,Pain finding,1360,1
Trismus finding,Motor dysfunction,40,0
Trypanosomiasis disorder,Trypanosomal chancre,40,0
Tuberculosis of skin,Tuberculous chancre,30,0
Diffuse disease of connective tissue,"Extensive congenital erosions, vesicles and reticulate scarring",30,0
Upper respiratory infection,Purulent nasal discharge,80,1
Upper respiratory infection,Purulent rhinitis,80,1
Urinary incontinence,Total urinary incontinence finding,10,0
Urinary incontinence,Urge incontinence of urine,10,0
Urinary incontinence,Primary enuresis,10,0
Urinary incontinence,Double incontinence finding,20,1
Urinary incontinence,Daytime enuresis,10,0
Genuine stress incontinence,Mixed incontinence,10,0
Female urinary-genital tract fistula,Menouria,10,0
Disorder of the urinary system,Polyuric state,30,0
Disorder of urinary tract,Polyuric state,30,0
Disorder of the urinary system,Genitourinary symptoms,10,0
Disorder of urinary tract,Genitourinary symptoms,10,0
Urticaria disorder,Weal,60,0
Urticaria morphologic abnormality,Weal,60,0
Urticaria disorder,Urticaria geographica,20,0
Urticaria morphologic abnormality,Urticaria geographica,20,0
Urticaria disorder,Menstrual urticaria,20,0
Urticaria morphologic abnormality,Menstrual urticaria,20,0
Urticaria disorder,Delayed dermographism,20,0
Urticaria morphologic abnormality,Delayed dermographism,20,0
Urticaria disorder,Cold reflex urticaria,20,0
Urticaria morphologic abnormality,Cold reflex urticaria,20,0
Urticaria disorder,Delayed cold sensitivity,20,0
Urticaria morphologic abnormality,Delayed cold sensitivity,20,0
Urticaria disorder,Persisting cholinergic urticaria,20,0
Urticaria morphologic abnormality,Persisting cholinergic urticaria,20,0
Urticaria disorder,Cholinergic pruritus,20,0
Urticaria morphologic abnormality,Cholinergic pruritus,20,0
Urticaria disorder,Reflex urticaria,20,0
Urticaria morphologic abnormality,Reflex urticaria,20,0
Urticaria disorder,Immune complex urticaria,70,0
Urticaria morphologic abnormality,Immune complex urticaria,70,0
Urticaria disorder,Urticarial vasculitis disorder,70,0
Urticaria morphologic abnormality,Urticarial vasculitis disorder,70,0
Disorder of vagina,Hematocolpometra,10,0
Disorder of vagina,Pruritus of vagina,20,0
Vaginitis and vulvovaginitis disorder,Vulval irritation,10,0
Migraine variants,Headache finding,590,1
Venous varices,Vulval varices in pregnancy,30,0
Phlebectasia,Vulval varices in pregnancy,30,0
Venous varices,Genital varices in the puerperium,20,0
Phlebectasia,Genital varices in the puerperium,20,0
Venous varices,Vaginal varices in the puerperium,10,0
Phlebectasia,Vaginal varices in the puerperium,10,0
Vascular disorder,Harlequin change,30,0
Vascular headache,Headache finding,590,1
Vascular headache,Thunderclap headache,20,0
Vasovagal attack,Syncope symptom,120,1
Vasovagal attack,Syncope and collapse,120,1
Velopharyngeal incompetence,DOther speech disturbance NOS,130,1
Velopharyngeal inadequacy,DOther speech disturbance NOS,130,1
Velopharyngeal insufficiency,DOther speech disturbance NOS,130,1
Velopharyngeal incompetence,DOther speech disturbance,130,0
Velopharyngeal inadequacy,DOther speech disturbance,130,0
Velopharyngeal insufficiency,DOther speech disturbance,130,0
Vidian neuralgia,Pain finding,1360,1
Viral disease,Postviral excessive daytime sleepiness,10,0
Entoptic phenomenon,Subjective visual disturbance,70,1
Abnormal vision,Spherical aberration of vision,10,0
Dim vision,Spherical aberration of vision,10,0
Abnormal vision,Chromatic aberration of vision,20,0
Dim vision,Chromatic aberration of vision,20,0
Abnormal vision,Visual alteration,90,0
Dim vision,Visual alteration,90,0
Disorder of vulva,Pruritus of vulva,10,0
Disorder of vulva,Dryness of vulva,10,0
Vulvitis disorder,Inflammation of vulva,10,0
Verruca vulgaris,Penile warts,40,0
Wasting disease,Cachexia finding,40,0
eroderma disorder,Dry skin finding,10,0
Hyposecretion of salivary gland,Drug-induced xerostomia,10,0
Aptyalism,Drug-induced xerostomia,10,0
Bradyarrhythmia,Fetal bradycardia,10,0
Post poliomyelitis syndrome,D Post polio exhaustion,10,0
Peripheral vascular disease,Paroxysmal vascular dilatation,10,0
Peripheral vascular disease,Pain at rest due to peripheral vascular disease,20,0
Corneal neovascularization,Vascularization of cornea,20,0
Eosinophilia myalgia syndrome,Pain finding,1360,1
Erythema infectiosum,Erythema of skin,890,1
Erythema infectiosum,Erythematous condition,890,1
Complex partial epileptic seizure,Seizure,1690,1
Psychomotor epilepsy,Seizure,1690,1
Complex partial epileptic seizure,Partial seizure,220,0
Psychomotor epilepsy,Partial seizure,220,0
Frontal lobe epilepsy,Seizure,1690,1
Epilepsia partialis continua,Seizure,1690,1
Kojevnikovs epilepsy,Seizure,1690,1
Epilepsia partialis continua,Partial seizure,220,0
Kojevnikovs epilepsy,Partial seizure,220,0
Essential hypertension,Paroxysmal hypertension,30,0
Monoplegia disorder,Transient monoplegia,10,0
Monoplegia disorder,Monoparesis disorder,10,0
Akinesia,Motor dysfunction,40,0
Livedo reticularis,Pale complexion,80,0
Synovial cyst,Mass of musculoskeletal structure,100,0
Erythema marginatum,Erythema of skin,890,1
Erythema marginatum,Erythematous condition,890,1
Brachial plexus neuralgia,Pain finding,1360,1
Nutritional marasmus,Emaciated,10,0
Preinfarction syndrome,Angina,230,1
Preinfarction syndrome,Ischemic chest pain,230,1
Preinfarction syndrome,Pain finding,1360,1
Spinocerebellar ataxia,Ataxia finding,30,0
Soft tissue infection,Purulent nasal discharge,80,1
Soft tissue infection,Purulent rhinitis,80,1
Umbilical granuloma,Disorder of umbilicus,120,0
Primary dysmenorrhea,Pain finding,1360,1
Primary dysmenorrhea,Spasmodic dysmenorrhea,30,0
Migraine disorder,Headache finding,590,1
Sciatic neuropathy,Sciatica disorder,70,0
Diabetic ophthalmoplegia,Ophthalmoplegia disorder,110,1
Chronic pain finding,Alteration in comfort: chronic pain,10,0
Chronic pain finding,Chronic abdominal pain,10,0
Chronic pain finding,Chronic pelvic pain of female,10,0
Chronic pain finding,Chronic intractable pain,10,0
Chronic pain finding,Other chronic pain,10,0
Chronic pain finding,Generalized chronic body pains,10,0
Chronic pain finding,Chronic vaginal pain,20,0
Hypersensitivity angiitis,Urticarial vasculitis disorder,70,0
Atrophoderma,Stellate pseudoscar,50,0
Disorder of brain stem,Palatal myoclonus,50,1
Disorder of brain stem,Oculopalatal myoclonus,20,0
Hemorrhagic diarrhea,Diarrhea symptom,390,1
Hemorrhagic diarrhea,Loose stool,390,1
Myocardial ischemia,Angina,230,1
Ischemic heart disease,Angina,230,1
Myocardial ischemia,Ischemic chest pain,230,1
Ischemic heart disease,Ischemic chest pain,230,1
Biliary colic,Abdominal pain,40,0
Gallbladder pain,Abdominal pain,40,0
Biliary colic,Colicky pain,20,0
Gallbladder pain,Colicky pain,20,0
Biliary colic,Pain of digestive structure,10,0
Gallbladder pain,Pain of digestive structure,10,0
Disorder of pregnancy disorder,Symptomatic disorders in pregnancy,30,0
Osteochondropathy,Bone pain finding,20,0
Osteochondropathy,Malignant bone pain,10,0
Osteochondropathy,Clavicle pain,10,0
Disorder of diaphragm,Paradoxical diaphragmatic movement,10,0
Disorder of diaphragm,Diaphragmatic tic,10,0
Disorder of diaphragm,Diaphragmatic paresis,10,0
Meralgia paresthetica disorder,Pain finding,1360,1
Meralgia paresthetica disorder,Lateral femoral cutaneous neuralgia,40,1
Internuclear ophthalmoplegia,Ophthalmoplegia disorder,110,1
Exophthalmic ophthalmoplegia,Ophthalmoplegia disorder,110,1
Pylorospasm,Spasm finding,100,1
Cyclical vomiting syndrome,Uncontrollable vomiting,30,0
Anal spasm,Bowel spasm,40,0
Angina decubitus disorder,Angina,230,1
Angina decubitus disorder,Ischemic chest pain,230,1
Angina decubitus disorder,Pain finding,1360,1
Total internal ophthalmoplegia,Internal ophthalmoplegia,30,0
Esophoria disorder,Incomitant esophoria disorder,20,0
Esophoria disorder,Esophoria or strabismus NOS or ophthalmoplegia NOS,20,0
Lagophthalmos,Lid retraction &or lag,10,0
Excessive tear production,Watering or tearing eyes & CO,10,0
Excessive tear production,Has watering eyes,10,0
Excessive tear production,Watery eye,10,0
Cholinergic urticaria,Persisting cholinergic urticaria,20,0
Cholinergic urticaria,Cholinergic pruritus,20,0
Toxic erythema disorder,Erythema of skin,890,1
Toxic erythema disorder,Erythematous condition,890,1
Toxic erythema disorder,Familial annular erythema,30,0
Placental polyp,Mass of female genital structure,70,0
Kayser-Fleischer ring,Chalcosis of cornea,10,0
Diarrhea of presumed infectious origin,Diarrhea symptom,390,1
Diarrhea of presumed infectious origin,Loose stool,390,1
Post-herpetic trigeminal neuralgia,Pain finding,1360,1
"Other late congenital syphilis, symptomatic",Saber shin,20,0
Vitamin A deficiency with Bitots spot AND conjunctival xerosis,Bitots spots,10,0
Other and unspecified extrapyramidal diseases and abnormal movement disorders disorder,Athetoid movement,80,1
Other extrapyramidal disease and abnormal movement disorders disorder,Athetoid movement,80,1
Other and unspecified extrapyramidal diseases and abnormal movement disorders disorder,Paroxysmal dystonia,40,0
Other extrapyramidal disease and abnormal movement disorders disorder,Paroxysmal dystonia,40,0
Vascular myelopathy,Edema of spinal cord,30,0
Monoplegia of upper limb,Monoparesis - arm,10,0
Other specified paralytic syndromes,Flaccid paralysis,10,0
Other specified paralytic syndromes,Drummers palsy,10,0
Other specified paralytic syndromes,Post-hemiplegic chorea,20,0
Other specified paralytic syndromes,Todds paresis,10,0
Migraine with aura,Headache finding,590,1
Disorder of meninges,Meningeal irritation,10,0
Glossopharyngeal neuralgia,Pain finding,1360,1
Other nerve root or plexus disorder,Intercostal neuralgia,40,0
Other nerve root and plexus disorders,Intercostal neuralgia,40,0
Other nerve root or plexus disorder,Ilioinguinal nerve neuralgia,70,1
Other nerve root and plexus disorders,Ilioinguinal nerve neuralgia,70,1
Other mononeuritis lower limb,Cruralgia,40,1
Proliferative diabetic retinopathy disorder,OE - right eye proliferative diabetic retinopathy,20,1
Proliferative diabetic retinopathy disorder,OE - left eye proliferative diabetic retinopathy,20,0
Other intraretinal microvascular abnormality disorder,Retinal arteries silverwire,10,0
Transient arterial retinal occlusion,Amaurosis fugax,40,0
Psychophysical visual disturbance,Visual hallucinations,10,0
Psychophysical visual disturbance,Unformed visual hallucinations,10,0
Psychophysical visual disturbance,Formed visual hallucinations,10,0
Psychophysical visual disturbance,Visual alteration,90,0
Psychophysical visual disturbance,Formed hallucinations of people,10,0
Diffuse interstitial keratitis,Diffuse inflammation,110,0
Localized vascularization of cornea,Vascularization of cornea,20,0
Anterior corneal pigmentation,Stahlis line,20,0
Conjunctival cyst,Mass of eye structure,70,1
Conjunctival cyst,Swelling of structure of eye,70,0
Other conjunctival disorders,Mucus conjunctival discharge,10,0
Other conjunctival disorders,Mucopurulent conjunctival discharge,10,0
Other eyelid disorder NOS,Rosenbachs sign,10,0
Other eyelid disorders,Rosenbachs sign,10,0
Other eyelid disorder NOS,Swelling of eyelid finding,10,0
Other eyelid disorders,Swelling of eyelid finding,10,0
Other disorders of sclera,Scleral discoloration,30,0
Other scleral disorders NOS,Scleral discoloration,30,0
Other disorders of sclera,Sclerotomal pain,10,0
Other scleral disorders NOS,Sclerotomal pain,10,0
Scleral staphyloma,Total scleral ectasia,10,0
Disorder of pinna,Generalized tenderness in pinna,10,0
Benign paroxysmal positional vertigo disorder,Benign paroxysmal positional vertigo nystagmus,30,0
Vertigo of central origin,Subjective vertigo,120,1
Vertigo of central origin,Brain stem vertigo,10,0
Other disorders of ear,Ear pressure sensation,10,0
Other ear disorders,Ear pressure sensation,10,0
Other disorders of ear,Sensation of pressure in ear,10,0
Other ear disorders,Sensation of pressure in ear,10,0
Other disorders of ear,Sensation of blocked ears,10,0
Other ear disorders,Sensation of blocked ears,10,0
Other disorders of ear,Mass of ear structure,80,0
Other ear disorders,Mass of ear structure,80,0
Other disorders of ear,Swelling of ear structure,10,0
Other ear disorders,Swelling of ear structure,10,0
Vulval varices,Vulval varices in pregnancy,30,0
Vulval varices,Genital varices in the puerperium,20,0
Other specified diseases of circulatory system,Prominent leg veins - symptom,10,0
Sore throat - chronic,Pain in throat,40,1
Sore throat - chronic,Sore throat symptom,40,0
Simple chronic bronchitis,Bronchorrhea,10,0
Simple chronic bronchitis,Smokers cough,30,0
Acute pulmonary edema due to fumes ANDOR vapors,Acute edema,110,0
Acute pulmonary edema,Acute edema,110,0
Gingival and periodontal disease,Sore gums,20,0
Cyst of oral soft tissue,Mass of oral cavity,70,0
Other specified tongue conditions NOS,Hypoesthesia of tongue,20,0
Other specified tongue conditions,Hypoesthesia of tongue,20,0
Disorder of function of stomach,Gastrointestinal symptom,20,0
Other appendix diseases NOS,Appendiceal colic,20,0
Other diseases of appendix NOS,Appendiceal colic,20,0
Other appendix diseases NOS,Appendicular colic,20,0
Other diseases of appendix NOS,Appendicular colic,20,0
Functional diarrhea,Diarrhea due to ingestion of unabsorbable substances,20,0
Other specified disorders of prostate,Prostatorrhea,20,0
Other specified disorders of breast,Subinvolution of breast,10,0
Other specified disorders of breast,"Breast subinvolution, postpartum",20,0
Other specified disorders of breast,Postpartum subinvolution of breast,20,1
Other specified disorders of breast,Peau dorange surface of breast,20,0
Other specified disorders of breast,Generalized tenderness of breast,10,0
Other specified disorders of breast,Localized tenderness of breast,10,0
Endometriosis of ovary,Pain finding,1360,1
Endometriosis of pelvic peritoneum,Pain finding,1360,1
Endometriosis of rectovaginal septum and vagina,Pain finding,1360,1
Endometriosis of intestine,Pain finding,1360,1
Endometriosis in scar of skin,Pain finding,1360,1
Noninflammatory disorder of the vagina,Abnormal vaginal odor,10,0
Menopausal and postmenopausal disorders,Menopausal problem,10,0
Eclampsia in puerperium,Seizure,1690,1
Hyperemesis gravidarum with metabolic disturbance - delivered,Finding of vomiting,160,1
Hyperemesis gravidarum with metabolic disturbance - delivered,Vomiting symptom,160,1
Other disorder of lactation unspecified,Breastfeeding painful,10,0
Other and unspecified disorders of lactation,Breastfeeding painful,10,0
Other disorder of lactation NOS,Breastfeeding painful,10,0
Other abnormal granulation tissue NOS,Abnormal granulation tissue,30,0
Other specified nail disease NOS,Subungual hyperkeratosis,30,0
Other specified nail disease,Subungual hyperkeratosis,30,0
Other specified nail disease NOS,Koilonychia,50,0
Other specified nail disease,Koilonychia,50,0
Other specified nail disease NOS,Lamellar nail splitting,20,0
Other specified nail disease,Lamellar nail splitting,20,0
Other specified nail disease NOS,Beaus lines,20,0
Other specified nail disease,Beaus lines,20,0
Other specified nail disease NOS,Clubbing of nail disorder,40,1
Other specified nail disease,Clubbing of nail disorder,40,1
Other specified nail disease NOS,Onychomadesis,20,0
Other specified nail disease,Onychomadesis,20,0
Other specified nail disease NOS,Change in nail appearance,10,0
Other specified nail disease,Change in nail appearance,10,0
Other specified nail disease NOS,Nail shedding,10,0
Other specified nail disease,Nail shedding,10,0
Other specified nail disease NOS,Splits in nails,10,0
Other specified nail disease,Splits in nails,10,0
Other specified nail disease NOS,Grooving of nail,10,0
Other specified nail disease,Grooving of nail,10,0
Other specified nail disease NOS,Thin nails,10,0
Other specified nail disease,Thin nails,10,0
Other specified nail disease NOS,Transverse split nail,10,0
Other specified nail disease,Transverse split nail,10,0
Other specified nail disease NOS,Splitting toenail,10,0
Other specified nail disease,Splitting toenail,10,0
Other specified sweat gland disorders,Unpleasant odor of axilla,10,0
Other specified sweat gland disorders,Unpleasant odor of genitalia,10,0
Derangement of knee disorder,Knee locking,10,0
Other specified joint disorders of the hand,Finger joint laxity,10,0
Other specified joint disorders of the lower leg,Infrapatellar tenderness,10,0
Other specified joint disorders of the ankle and foot,Metatarsophalangeal joint laxity,10,0
"Joint disorder NOS, of shoulder region",Popeye sign,10,0
"Joint disorder NOS, of shoulder region",Shoulder joint laxity,10,0
"Joint disorder NOS, of the upper arm",Elbow joint laxity,10,0
"Joint disorder NOS, of the forearm",Wrist joint laxity,10,0
Arthropathy of joint of hand,Thumb joint laxity,10,0
Diffuse cervicobrachial syndrome,Cervicobrachialgia,10,0
Disorder of sacrum,Sacrocoxalgia,10,0
Disorder of sacrum,Sacral back pain,10,0
Disorder of sacrum,Sacroiliac joint pain,10,0
Disorder of sacrum,Sacroiliac joint laxity,10,0
Disorder of sacrum,Sacroiliac joint stiff,10,0
Other disorder of coccyx -RETIRED-,Pain in the coccyx,20,0
Back disorders - other,Lumbar ache - renal,10,0
Back disorders - other,Cervical spine stiff,10,0
Enthesopathy of ankle ANDOR tarsus,Metatarsalgia finding,20,0
"Other synovial, tendon and bursa disorders",Tendon sheath effusion,10,0
"Other disorders of the synovium, tendon and bursa",Tendon sheath effusion,10,0
"Other synovial, tendon and bursa disorders",Nodule on tendon,10,0
"Other disorders of the synovium, tendon and bursa",Nodule on tendon,10,0
"Other synovial, tendon and bursa disorders",Thickening of tendon sheath,10,0
"Other disorders of the synovium, tendon and bursa",Thickening of tendon sheath,10,0
Ganglion of joint,Mass of musculoskeletal structure,100,0
"Muscle, ligament and fascia disorders",Spastic paraparesis,10,0
"Muscle, ligament and fascia disorders",Musculoskeletal hypomobility,10,0
"Muscle, ligament and fascia disorders",Musculoskeletal immobility,10,0
"Muscle, ligament and fascia disorders",Cerebral paraparesis,10,0
"Muscle, ligament and fascia disorders",Weakness of face muscles,10,0
"Muscle, ligament and fascia disorders",Floppy muscles,10,0
"Muscle, ligament and fascia disorders",Muscle tone atonic,10,0
"Muscle, ligament and fascia disorders",Upper facial weakness,10,0
"Muscle, ligament and fascia disorders",Quadriceps weakness,10,0
"Muscle, ligament and fascia disorders",Calf muscle weakness,10,0
Other soft tissue disorders,Polyalgia,30,0
Other soft tissue disorders,Mass of body region,30,0
Other soft tissue disorders,Mass of trunk,40,0
Transitory tachypnea of newborn disorder,Tachypnea finding,20,0
Perinatal jaundice due to hepatocellular damage,Hepatocellular jaundice,40,0
Convulsions in the newborn,Seizure,1690,1
Other specified conditions originating in the perinatal period,Fetal souffle,10,0
Other specified conditions originating in the perinatal period,Excessive crying of newborn,10,0
Other specified conditions originating in the perinatal period,Disorder of umbilicus,120,0
Corneal deposit,Corneal pigmentations and deposits,40,0
Corneal deposit,Melanin pigmentation of cornea,20,0
Corneal deposit,Blood pigmentation of cornea,20,0
External ophthalmoplegia,Ophthalmoplegia disorder,110,1
Multiple joint pain,Joint pain,20,0
Deficiency state,Starvation disorder,50,0
Undernourished,Starvation disorder,50,0
Nutritional deficiency,Starvation disorder,50,0
Deficiency state,Inanition disorder,10,0
Undernourished,Inanition disorder,10,0
Nutritional deficiency,Inanition disorder,10,0
Bacterial infection of skin,Meningococcal rash,30,0
Fukuhara syndrome,Seizure,1690,1
Myoclonus epilepsy AND ragged red fibers,Seizure,1690,1
Myoclonic epilepsy - ragged red fibers,Seizure,1690,1
Hypogonadism with anosmia,Loss of sense of smell,20,0
Vascular disease of the skin,Face goes red,30,0
Vascular disease of the skin,Stellate pseudoscar,50,0
Skin hypopigmented,Achromia of skin disorder,40,0
Depigmentation,Achromia of skin disorder,40,0
Disorder of skin ANDOR subcutaneous tissue,Blanching of skin finding,10,0
Disorder of skin ANDOR subcutaneous tissue,Scaly scalp,10,0
Disorder of skin ANDOR subcutaneous tissue,Perineal irritation,10,0
Disorder of skin ANDOR subcutaneous tissue,Abnormal complexion,10,0
Disorder of skin ANDOR subcutaneous tissue,Stinging of skin,10,0
Disorder of skin ANDOR subcutaneous tissue,Sore skin finding,20,0
Disorder of reproductive system,Pruritus of genital organs,10,0
Algoneurodystrophy disorder,Pain finding,1360,1
Fatal familial insomnia,Insomnia disorder,70,0
Cardiac syndrome ,Chest pain,40,1
Cardiac syndrome ,Other chest pain,10,0
Endolymphatic hydrops,Secondary endolymphatic hydrops,20,0
Familial neonatal seizures,Seizure,1690,1
Benign neonatal familial convulsions,Seizure,1690,1
Mauriacs syndrome,Large liver,20,0
Myxedema heart disease,Hard edema,50,0
Ophthalmoplegic migraine,Headache finding,590,1
Ophthalmoplegic migraine,Ophthalmoplegia disorder,110,1
Abortive cerebellar ataxia,Cerebellar ataxia,110,0
Obstipation disorder,Constipation disorder,120,1
Urticaria due to cold,Cold reflex urticaria,20,0
Urticaria due to cold,Delayed cold sensitivity,20,0
Angular cheilitis,Sore lip or angular stomatitis &or cheilitis,10,0
Perleche,Sore lip or angular stomatitis &or cheilitis,10,0
Necrolytic migratory erythema,Erythema of skin,890,1
Necrolytic migratory erythema,Erythematous condition,890,1
Dystrophia unguium,Koilonychia,50,0
Dystrophia unguium,Lamellar nail splitting,20,0
Dystrophia unguium,Beaus lines,20,0
Retraction of nipple disorder,Other signs and symptoms in breast,20,0
Syphilitic gumma disorder,Gummatous inflammation morphologic abnormality,80,0
Joint function disorder,Range of joint movement increased,10,0
Joint function disorder,Joint laxity,10,0
iphodynia,Chest pain,40,1
iphodynia,Bone pain finding,20,0
Achillodynia,Pain in lower limb finding,20,0
Achillodynia,Tenalgia,10,0
Ventilatory defect,Abnormal breathing,10,0
Ether apnea,Drug-induced apnea,10,0
Continuous murmur,"DHeart murmur, undiagnosed",10,0
Chronic constipation with overflow,Diarrhea symptom,390,1
Chronic constipation with overflow,Loose stool,390,1
Nervous diarrhea,Diarrhea symptom,390,1
Nervous diarrhea,Loose stool,390,1
Hydrorrhea gravidarum,Clinical sign related to pregnancy,10,0
Exhaustion delirium,Exhaustion,20,0
Physiological disturbance associated with mood,Mood hypersomnia,10,0
General areflexia,Abnormal reflex,30,0
Acroparesthesia finding,Paresthesia finding,10,0
Allergic headache,Headache finding,590,1
Atypical neuralgia,Neuropathic pain,160,1
Atypical neuralgia,Pain finding,1360,1
Stump neuralgia,Pain finding,1360,1
Athetoid paralysis,Athetoid movement,80,1
Athetoid paralysis,Involuntary movement,50,1
Athetoid paralysis,Involuntary movement symptom,50,1
Hypotensive syncope,Syncope symptom,120,1
Hypotensive syncope,Syncope and collapse,120,1
Tussive syncope,CO - cough,20,0
Amusia,Other and unspecified symbolic dysfunctions,60,1
Amusia,DOther symbolic dysfunction,60,0
Anosognosia,DOther general symptoms NOS,30,1
Anosognosia,DOther general symptoms,30,0
Anarthria,DOther speech disturbance NOS,130,1
Anarthria,DOther speech disturbance,130,0
Motor apraxia,Other and unspecified symbolic dysfunctions,60,1
Motor apraxia,DOther symbolic dysfunction,60,0
Generalized seizure,Seizure,1690,1
Generalized seizure,Tonic-clonic seizure,20,1
Generalized seizure,Grand mal seizure,20,0
Central convulsion,Seizure,1690,1
Puerperal convulsion,Seizure,1690,1
Tetanic convulsion,Seizure,1690,1
Epileptic cry,Seizure,1690,1
Postseizure delirium,Seizure,1690,1
Stress seizure,Seizure,1690,1
Cortical vertigo,Subjective vertigo,120,1
Ocular vertigo,Subjective vertigo,120,1
Ocular vertigo,Dizziness and giddiness,30,0
Cerebellar vertigo,Subjective vertigo,120,1
Annular erythema,Erythema of skin,890,1
Annular erythema,Erythematous condition,890,1
